provider,page,wave_type_label,query_group_label,query
bing_serpapi,9,Evidence Core,Evidence Core: automotive | embedded | ADAS,"site:linkedin.com/in/ ""Automation"" (""Engineer"" OR ""QA"" OR ""Tester"" OR ""Test Engineer"" OR ""SDET"") (""automotive"" OR ""embedded"" OR ""ADAS"") ""ukraine"""
bing_serpapi,9,Evidence Core,Evidence Core: CAN,"site:linkedin.com/in/ ""Automation"" (""Engineer"" OR ""QA"" OR ""Tester"" OR ""Test Engineer"" OR ""SDET"") ""CAN"" ""ukraine"""
bing_serpapi,9,Evidence Core,Evidence Core: Git | logs | virtual environments,"site:linkedin.com/in/ ""Automation"" (""Engineer"" OR ""QA"" OR ""Tester"" OR ""Test Engineer"" OR ""SDET"") (""Git"" OR ""logs"" OR ""virtual environments"") ""ukraine"""
bing_serpapi,9,Evidence Core,Evidence Core: BDD,"site:linkedin.com/in/ ""Automation"" (""Engineer"" OR ""QA"" OR ""Tester"" OR ""Test Engineer"" OR ""SDET"") ""BDD"" ""ukraine"""
bing_serpapi,9,Evidence Core,Evidence Core: Python | pytest,"site:linkedin.com/in/ ""Automation"" (""Engineer"" OR ""QA"" OR ""Tester"" OR ""Test Engineer"" OR ""SDET"") (""Python"" OR ""pytest"") ""ukraine"""
bing_serpapi,9,Evidence Core,Evidence Core: Selenium | Playwright | Cypress,"site:linkedin.com/in/ ""Automation"" (""Engineer"" OR ""QA"" OR ""Tester"" OR ""Test Engineer"" OR ""SDET"") (""Selenium"" OR ""Playwright"" OR ""Cypress"") ""ukraine"""
bing_serpapi,9,Evidence Core,Evidence Core: automation framework | test automation,"site:linkedin.com/in/ ""Automation"" (""Engineer"" OR ""QA"" OR ""Tester"" OR ""Test Engineer"" OR ""SDET"") (""automation framework"" OR ""test automation"") ""ukraine"""
serpapi,9,Evidence Core,Evidence Core: Python,"site:linkedin.com/in/ ""Automation"" (""Engineer"" OR ""QA"" OR ""Tester"" OR ""Test Engineer"" OR ""SDET"") ""Python"" ""ukraine"""
serpapi,9,Evidence Core,Evidence Core: automotive | embedded | ADAS,"site:linkedin.com/in/ ""Automation"" (""Engineer"" OR ""QA"" OR ""Tester"" OR ""Test Engineer"" OR ""SDET"") (""automotive"" OR ""embedded"" OR ""ADAS"") ""ukraine"""
serpapi,9,Evidence Core,Evidence Core: CAN,"site:linkedin.com/in/ ""Automation"" (""Engineer"" OR ""QA"" OR ""Tester"" OR ""Test Engineer"" OR ""SDET"") ""CAN"" ""ukraine"""
serpapi,9,Evidence Core,Evidence Core: Git | logs | virtual environments,"site:linkedin.com/in/ ""Automation"" (""Engineer"" OR ""QA"" OR ""Tester"" OR ""Test Engineer"" OR ""SDET"") (""Git"" OR ""logs"" OR ""virtual environments"") ""ukraine"""
